epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12702.45547785452;103.0
21;13933.646276948604;122.0
22;15202.939586831517;142.0
23;16482.118275308756;164.0
24;17774.484768909515;182.0
25;19093.41307401674;198.0
26;20452.898648232782;211.0
27;21859.08279157542;226.0
28;23350.873540196397;246.0
29;24911.27098642952;271.0
30;26547.380541006107;299.0
31;28236.597086795275;327.0
32;29960.32298890807;357.0
33;31723.89987445546;392.0
34;33524.35871622429;434.0
35;35362.15540986775;479.0
36;37209.61841854507;529.0
37;39081.0272599435;584.0
38;40950.91648496902;643.0
39;42817.078985903674;708.0
40;44685.7296044038;781.0
41;46566.790029777076;857.0
42;48415.274154071165;942.0
43;50224.4480204742;1032.0
44;52007.1975324348;1130.0
45;53712.63442323728;1241.0
46;55468.20469212553;1316.0
47;57304.7734321623;1370.0
48;59270.02522486588;1415.0
49;61379.2927062825;1460.0
50;63636.39974058071;1506.0
51;66013.62046249972;1559.0
52;68438.26558223952;1621.0
53;70914.3451575931;1692.0
54;73361.89002494987;1769.0
55;75738.70518010705;1857.0
56;78057.91833945757;1953.0
57;80358.366450129;2058.0
58;82678.8351812142;2177.0
59;84967.23377926437;2309.0
60;87196.44964159105;2448.0
61;89381.00391038737;2589.0
62;91546.68645166159;2739.0
63;93669.72137970068;2902.0
64;95730.4133673483;3075.0
65;97794.0137172935;3257.0
66;99820.07916065937;3441.0
67;101767.06781447161;3631.0
68;103624.68720350145;3828.0
69;105445.4829750479;3999.0
70;107263.7812188785;4155.0
71;108575.08840836209;4290.0
72;110501.86489842749;4436.0
73;112581.5510942618;4592.0
74;114777.22460947472;4755.0
