epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;362.4070196181334;3.0
5;615.8805304565014;5.0
6;982.705402576618;7.0
7;1436.4954752376884;9.0
8;1946.3947137000675;11.0
9;2541.1389933122546;13.0
10;3191.2161375859814;15.0
11;3880.924849196513;17.0
12;4640.079845972303;21.0
13;5479.035717477727;25.0
14;6360.082285264881;31.0
15;7292.053168366376;40.0
16;8282.936957211743;49.0
17;9311.429362389428;61.0
18;10395.732466635765;72.0
19;11514.642464484174;87.0
20;12694.684475928176;104.0
21;13917.217481200149;124.0
22;15178.546943523941;147.0
23;16458.14318696236;173.0
24;17721.462512446455;203.0
25;19001.439405141697;237.0
26;20309.695188354228;276.0
27;21643.784861741628;318.0
28;23001.41309126343;365.0
29;24361.92962721104;418.0
30;25733.491187189204;474.0
31;27090.128986269614;537.0
32;28458.56549971727;608.0
33;29849.540592710848;687.0
34;31254.537979521927;768.0
35;32644.551583676377;854.0
36;34035.145499558465;946.0
37;35404.512973157325;1047.0
38;36775.44518950742;1151.0
39;38145.57271509339;1266.0
40;39506.79671377288;1381.0
41;40826.34619899176;1498.0
42;42131.25412451169;1614.0
43;43407.699581957466;1740.0
44;44658.69877011101;1871.0
45;45876.62710439537;2010.0
46;47122.11673719319;2132.0
47;48409.13020324039;2245.0
48;49762.44564577463;2358.0
49;51196.01769389944;2471.0
50;52753.21339258127;2585.0
51;54422.321047824684;2703.0
52;56163.276604794635;2816.0
53;57981.16608065148;2930.0
54;59865.625936900775;3043.0
55;61812.41960575378;3154.0
56;63812.963607543585;3264.0
57;65859.13944811652;3375.0
58;67943.61180255661;3483.0
59;70073.81731317576;3592.0
60;72272.61053241203;3706.0
61;74505.8583790559;3825.0
62;76762.14880919701;3952.0
63;79036.07877896822;4085.0
64;81351.52628221588;4223.0
65;83668.00062572776;4365.0
66;86004.76606010817;4519.0
67;88352.21699678057;4677.0
68;90721.02579489106;4839.0
69;93124.9071202592;5003.0
70;95560.17920225373;5174.0
71;98012.3102238927;5353.0
72;100467.58660880117;5534.0
73;102946.73131146487;5720.0
